# Città,Latitudine,Longitudine,Popolazione (in migliaia)
Roma,41.9028,12.4964,2873
Milano,45.4654,9.1866,1351
Napoli,40.8518,14.2681,967
Torino,45.0703,7.6869,870
Palermo,38.1157,13.3615,670
Genova,44.4056,8.9463,580
Bologna,44.4949,11.3426,390
Firenze,43.7696,11.2558,380
Bari,41.1171,16.8719,320
Catania,37.5079,14.7933,310
Venezia,45.4408,12.3155,260
Verona,45.4384,10.9916,260
Messina,38.1938,15.5540,230
Padova,45.4064,11.8768,210
Trieste,45.6495,13.7768,200
Taranto,40.4644,17.2410,200
Brescia,45.5385,10.2116,200
Prato,43.8784,11.1022,200
Reggio Calabria,38.1114,15.6455,180
Modena,44.6471,10.9252,180
Livorno,43.5485,10.3095,160
Cagliari,39.2238,9.1217,150
Foggia,41.4620,15.5444,150
Salerno,40.6823,14.7558,130
Ravenna,44.4184,12.2019,130
Rimini,44.0582,12.5695,150
Sassari,40.7260,8.5555,130
Perugia,43.1107,12.3886,170
Siracusa,37.0603,15.2866,120
Pescara,42.4611,14.2188,120
Bergamo,45.6980,9.6773,120
Terni,42.5630,12.6452,110
Vicenza,45.5456,11.5460,110
Arezzo,43.4610,11.8759,100
La Spezia,44.1020,9.8260,100
Cremona,45.1334,10.0185,100
L'Aquila,42.3499,13.3999,70
Cosenza,39.3000,16.2500,70
Pordenone,45.9560,12.6580,50
Vercelli,45.3200,8.4230,50
Grosseto,42.7500,11.1000,50
